"lowtag","year_cap","cwdstatus1","cwdstatus2","cwdstatus3","cwdstatus4","postcwd","ante_cap","needsRTQ"
7072,2019,"","","","Negative","0","","No"
7068,2019,"","","","Negative","0","","No"
6161,2019,"","","","Negative","Negative","","No"
6156,2019,"","","","Negative","Positive","","No"
7888,2019,"","","","Negative","0","","No"
5043,2019,"","","","Negative","Not tested","","No"
6448,2019,"","","","Negative","Negative","","No"
7154,2019,"0","0","0","0","0","0","Yes"
7151,2019,"0","0","0","0","0","0","Yes"
5526,2020,"","","","Negative","0","Negative","No"
6696,2020,"","","","Negative","0","Negative","No"
7981,2020,"","","","Negative","Positive","Negative","No"
6673,2020,"","","","Positive","Positive","Positive","No"
5279,2020,"","","","Positive","Positive","Positive","No"
6606,2020,"","","","Negative","0","Negative","No"
6629,2020,"","","","Negative","0","Negative","No"
7912,2020,"","","","Negative","0","Negative","No"
8121,2020,"","","","Negative","0","Negative","No"
5201,2020,"","","","Negative","Negative","Negative","No"
6692,2020,"","","","Positive","Positive","Positive","No"
5223,2020,"","","","Negative","Negative","Negative","No"
5253,2020,"","","","Negative","0","Negative","No"
6698,2020,"","","","Negative","0","Negative","No"
7910,2020,"","","","Negative","0","Negative","No"
7944,2020,"","","","Negative","Not tested","Negative","No"
7987,2020,"","","","Negative","0","Negative","No"
7993,2020,"","","","Negative","0","Negative","No"
5213,2020,"","","","Negative","Not tested","Negative","No"
5257,2020,"","","","Negative","0","Negative","No"
5528,2020,"","","","Negative","0","Negative","No"
7922,2020,"","","","Negative","0","Negative","No"
5267,2020,"","","","Negative","0","Negative","No"
6681,2020,"","","","Negative","0","Negative","No"
6690,2020,"","","","Negative","0","Negative","No"
7866,2020,"","","","Negative","0","Negative","No"
8117,2020,"","","","Negative","0","Negative","No"
8123,2020,"","","","Positive","Positive","Positive","No"
6685,2020,"","","","Positive","Positive","Positive","No"
5203,2020,"","","","Negative","0","Negative","No"
5243,2020,"","","","Negative","0","Negative","No"
7942,2020,"","","","Negative","0","Negative","No"
7948,2020,"","","","Negative","0","Negative","No"
7977,2020,"","","","Negative","0","Negative","No"
8104,2020,"","","","Negative","Negative","Negative","No"
5205,2020,"","","","Negative","Not tested","Negative","No"
5229,2020,"","","","ISF","Negative","ISF","No"
5235,2020,"","","","Negative","Pending","Negative","No"
5241,2020,"","","","Positive","Positive","Positive","No"
5247,2020,"","","","Negative","Pending","Negative","No"
5255,2020,"","","","Negative","Positive","Negative","No"
5261,2020,"","","","Negative","Positive","Negative","No"
5265,2020,"","","","Negative","0","Negative","No"
5521,2020,"","","","Negative","0","Negative","No"
6677,2020,"","","","Negative","0","Negative","No"
6694,2020,"","","","Negative","0","Negative","No"
7870,2020,"","","","Negative","Pending","Negative","No"
5215,2020,"","","","Negative","Negative","Negative","No"
5221,2020,"","","","Positive","Positive","Positive","No"
5285,2020,"","","","Negative","0","Negative","No"
5287,2020,"","","","Positive","Positive","Positive","No"
5540,2020,"","","","Negative","Pending","Negative","No"
7900,2020,"","","","Negative","Positive","Negative","No"
7920,2020,"","","","Negative","Pending","Negative","No"
7975,2020,"","","","Negative","Pending","Negative","No"
5227,2020,"","","","Negative","0","Negative","No"
5263,2020,"","","","Negative","Positive","Negative","No"
5297,2020,"","","","Negative","0","Negative","No"
5507,2020,"","","","Positive","Positive","Positive","No"
6679,2020,"","","","ISF","0","ISF","Yes"
7864,2020,"","","","Negative","0","Negative","No"
7908,2020,"","","","Not Tested","0","Not Tested","Yes"
8108,2020,"","","","Negative","0","Negative","No"
8197,2020,"","","","Negative","0","Negative","No"
8187,2020,"","","","Negative","0","Negative","No"
5269,2020,"","","","Negative","0","Negative","No"
5275,2020,"","","","Negative","0","Negative","No"
6675,2020,"","","","Negative","0","Negative","No"
5239,2020,"","","","Negative","0","Negative","No"
5251,2020,"","","","Negative","Not tested","Negative","No"
7904,2020,"","","","Negative","Negative","Negative","No"
7924,2020,"","","","Negative","0","Negative","No"
7868,2020,"","","","Negative","0","Negative","No"
7989,2020,"","","","Negative","0","Negative","No"
5225,2020,"","","","Negative","0","Negative","No"
5233,2020,"","","","Negative","0","Negative","No"
5245,2020,"","","","Negative","Negative","Negative","No"
5249,2020,"","","","Negative","Negative","Negative","No"
5259,2020,"","","","Negative","Negative","Negative","No"
5277,2020,"","","","Negative","0","Negative","No"
5519,2020,"","","","Negative","0","Negative","No"
7914,2020,"","","","Negative","Negative","Negative","No"
7928,2020,"","","","Negative","Negative","Negative","No"
7932,2020,"","","","Negative","Negative","Negative","No"
7946,2020,"","","","Negative","Negative","Negative","No"
5219,2020,"","","","Positive","Positive","Positive","No"
5271,2020,"","","","Negative","0","Negative","No"
5281,2020,"","","","Positive","Positive","Positive","No"
7968,2020,"","","","Positive","Positive","Positive","No"
8147,2020,"","","","Negative","0","Negative","No"
8171,2020,"","","","Negative","Negative","Negative","No"
8181,2020,"","","","Negative","Positive","Negative","No"
5231,2020,"","","","Positive","Positive","Positive","No"
7918,2020,"","","","Negative","Negative","Negative","No"
7930,2020,"","","","Positive","Positive","Positive","No"
8127,2020,"","","","Negative","0","Negative","No"
8139,2020,"","","","Negative","Not tested","Negative","No"
8193,2020,"","","","Negative","0","Negative","No"
5209,2020,"","","","Negative","Negative","Negative","No"
5293,2020,"","","","Positive","Positive","Positive","No"
7952,2020,"","","","Positive","Positive","Positive","No"
8131,2020,"","","","Positive","Positive","Positive","No"
8159,2020,"","","","Negative","0","Negative","No"
5641,2020,"","","","Negative","Negative","Negative","No"
6656,2020,"","","","Negative","Pending","Negative","No"
7926,2020,"","","","Negative","Negative","Negative","No"
7983,2020,"","","","Negative","Negative","Negative","No"
7985,2020,"","","","Positive","Positive","Positive","No"
8151,2020,"","","","Negative","Not tested","Negative","No"
5291,2020,"","","","Negative","Negative","Negative","No"
7113,2020,"","","","Negative","0","Negative","No"
8153,2020,"","","","Negative","0","Negative","No"
8165,2020,"","","","Negative","0","Negative","No"
5217,2020,"","","","Negative","0","Negative","No"
5273,2020,"","","","Negative","Negative","Negative","No"
5295,2020,"","","","Negative","0","Negative","No"
6594,2020,"","","","Negative","0","Negative","No"
6659,2020,"","","","Negative","Pending","Negative","No"
7916,2020,"","","","ISF","0","ISF","Yes"
7954,2020,"","","","Negative","0","Negative","No"
7962,2020,"","","","Negative","Not tested","Negative","No"
8161,2020,"","","","Negative","0","Negative","No"
6625,2020,"","","","Negative","Negative","Negative","No"
5211,2020,"","","","Negative","0","Negative","No"
5237,2020,"","","","Negative","Negative","Negative","No"
5289,2020,"","","","Negative","0","Negative","No"
6568,2020,"","","","Negative","0","Negative","No"
6608,2020,"","","","Negative","0","Negative","No"
6620,2020,"","","","Negative","Negative","Negative","No"
6627,2020,"","","","Negative","Negative","Negative","No"
6644,2020,"","","","Negative","0","Negative","No"
6669,2020,"","","","Negative","Negative","Negative","No"
7848,2020,"","","","Negative","Negative","Negative","No"
7906,2020,"","","","Negative","0","Negative","No"
7995,2020,"","","","Negative","0","Negative","No"
8125,2020,"","","","Negative","Negative","Negative","No"
8133,2020,"","","","Negative","0","Negative","No"
8141,2020,"","","","Negative","Not tested","Negative","No"
8143,2020,"","","","Negative","0","Negative","No"
8157,2020,"","","","ISF","0","ISF","Yes"
8185,2020,"","","","Negative","0","Negative","No"
8189,2020,"","","","Negative","0","Negative","No"
6636,2020,"","","","ISF","Negative","ISF","No"
6640,2020,"","","","Negative","Negative","Negative","No"
6654,2020,"","","","Negative","0","Negative","No"
8155,2020,"","","","Negative","0","Negative","No"
8183,2020,"","","","Negative","0","Negative","No"
6602,2020,"","","","ISF","Positive","ISF","No"
7950,2020,"","","","Negative","Positive","Negative","No"
7991,2020,"","","","Negative","Positive","Negative","No"
8112,2020,"","","","Negative","0","Negative","No"
8173,2020,"","","","Negative","0","Negative","No"
6650,2020,"","","","Negative","0","Negative","No"
6667,2020,"","","","ISF","Negative","ISF","No"
6995,2020,"","","","Negative","Negative","Negative","No"
7956,2020,"","","","Negative","0","Negative","No"
7960,2020,"","","","Negative","Positive","Negative","No"
7966,2020,"","","","ISF","Negative","ISF","No"
8129,2020,"","","","Negative","Negative","Negative","No"
8135,2020,"","","","Negative","Positive","Negative","No"
8149,2020,"","","","Negative","Negative","Negative","No"
8163,2020,"","","","Negative","Negative","Negative","No"
6604,2020,"","","","Negative","0","Negative","No"
6631,2020,"","","","Negative","0","Negative","No"
6633,2020,"","","","Negative","Not tested","Negative","No"
6661,2020,"","","","Positive","Positive","Positive","No"
7111,2020,"","","","Negative","Negative","Negative","No"
7997,2020,"","","","Negative","Negative","Negative","No"
8145,2020,"","","","Negative","Negative","Negative","No"
8169,2020,"","","","Negative","0","Negative","No"
5627,2020,"","","","ISF","Negative","ISF","No"
6646,2020,"","","","Negative","Negative","Negative","No"
8102,2020,"0","0","0","0","Pending","0","Yes"
8110,2020,"","","","ISF","0","ISF","Yes"
8119,2020,"","","","Negative","0","Negative","No"
8191,2020,"","","","ISF","Negative","ISF","No"
7902,2020,"","","","Negative","0","Negative","No"
7934,2020,"","","","ISF","Positive","ISF","No"
7938,2020,"","","","Negative","Pending","Negative","No"
8177,2020,"","","","Positive","Positive","Positive","No"
8179,2020,"","","","Negative","Not tested","Negative","No"
6610,2020,"","","","Negative","Negative","Negative","No"
5207,2020,"","","","Negative","Not tested","Negative","No"
8100,2020,"","","","Negative","0","Negative","No"
7733,2020,"","","","Negative","Negative","Negative","No"
7777,2020,"","","","Negative","0","Negative","No"
7783,2020,"","","","Negative","Negative","Negative","No"
7785,2020,"","","","Negative","0","Negative","No"
7735,2020,"","","","Negative","Positive","Negative","No"
7745,2020,"","","","Negative","Negative","Negative","No"
7747,2020,"","","","Negative","Negative","Negative","No"
7775,2020,"","","","Negative","0","Negative","No"
5283,2020,"","","","ISF","Positive","ISF","No"
6683,2020,"","","","Positive","Positive","Positive","No"
7737,2020,"","","","Negative","0","Negative","No"
7940,2020,"","","","Negative","Negative","Negative","No"
7958,2020,"","","","Negative","Not tested","Negative","No"
7973,2020,"","","","Negative","Positive","Negative","No"
8137,2020,"","","","Negative","Not tested","Negative","No"
8175,2020,"","","","Negative","Not tested","Negative","No"
8195,2020,"","","","Negative","0","Negative","No"
7741,2020,"","","","Negative","0","Negative","No"
7970,2020,"","","","Negative","Negative","Negative","No"
8167,2020,"","","","Negative","0","Negative","No"
6665,2020,"","","","Negative","0","Negative","No"
7700,2020,"","","","Negative","0","Negative","No"
7779,2020,"","","","Positive","Positive","Positive","No"
7787,2020,"","","","Negative","0","Negative","No"
7754,2020,"","","","Negative","0","Negative","No"
6983,2020,"","","","Negative","0","Negative","No"
7768,2020,"","","","Negative","Pending","Negative","No"
