"lowtag","year_cap","cwdstatus1","cwdstatus2","cwdstatus3","cwdstatus4","postcwd","ante_cap","needsRTQ"
5056,2017,"Negative","","","","Positive","Negative","No"
5873,2017,"Negative","","","","Negative","Negative","No"
5884,2017,"Negative","","","","Positive","Negative","No"
6837,2017,"Negative","","","","Negative","Negative","No"
6878,2017,"Negative","","","","Positive","Negative","No"
5002,2017,"Not tested","","","","Not tested","Not tested","Yes"
5014,2017,"Negative","","","","Negative","Negative","No"
5833,2017,"Negative","","","","Positive","Negative","No"
5867,2017,"Negative","","","","Not tested","Negative","No"
7208,2017,"Not tested","","","","Not tested","Not tested","Yes"
6041,2017,"ISF","","","","0","ISF","Yes"
6065,2017,"Negative","Positive","","","0","Negative","No"
7822,2017,"Negative","","","","0","Negative","No"
5024,2017,"Negative","","","","Positive","Negative","No"
5854,2017,"Negative","","","","0","Negative","No"
6029,2017,"Negative","","","","Negative","Negative","No"
5850,2017,"Negative","","","","Negative","Negative","No"
7719,2017,"Negative","","","","Negative","Negative","No"
5856,2017,"Negative","","","","Not tested","Negative","No"
5841,2017,"Negative","","","","Negative","Negative","No"
5894,2017,"","Negative","","","Negative","","No"
6204,2017,"","Negative","","","Negative","","No"
6340,2017,"","Negative","","","Positive","","No"
6216,2017,"","Negative","","","0","","No"
6324,2017,"","ISF","","","Positive","","No"
7358,2017,"0","0","0","0","Negative","0","No"
6057,2017,"","Negative","","","Not tested","","No"
6272,2017,"","","Negative","","Not tested","","No"
5157,2018,"","Negative","","","0","Negative","No"
5145,2018,"","Negative","","","Not tested","Negative","No"
5173,2018,"","Negative","","","0","Negative","No"
5010,2018,"","Negative","","","Positive","Negative","No"
5107,2018,"","Negative","","","0","Negative","No"
5181,2018,"","Negative","","","Not tested","Negative","No"
5888,2018,"","Negative","","","0","Negative","No"
6886,2018,"","Negative","","","0","Negative","No"
7366,2018,"","Negative","","","0","Negative","No"
5139,2018,"","Negative","","","Negative","Negative","No"
7392,2018,"","Negative","","","0","Negative","No"
5191,2018,"","Negative","","","Negative","Negative","No"
5900,2018,"","Negative","","","Negative","Negative","No"
6890,2018,"","Negative","","","Negative","Negative","No"
7368,2018,"","Negative","","","Positive","Negative","No"
6825,2018,"","Negative","","","Negative","Negative","No"
7376,2018,"","Not tested","","","Negative","Not tested","No"
7390,2018,"","Negative","","","0","Negative","No"
5151,2018,"","Negative","","","Positive","Negative","No"
5171,2018,"","ISF","","","Positive","ISF","No"
5971,2018,"","Not tested","","","Negative","Not tested","No"
5187,2018,"","Positive","","","Positive","Positive","No"
5909,2018,"","Negative","","","Negative","Negative","No"
7364,2018,"","Negative","","","0","Negative","No"
6888,2018,"","Negative","","","0","Negative","No"
5058,2018,"","Negative","","","Negative","Negative","No"
5137,2018,"","Negative","","","Positive","Negative","No"
5886,2018,"","Negative","","","Not tested","Negative","No"
6859,2018,"","Negative","","","Positive","Negative","No"
5825,2018,"","Negative","","","Positive","Negative","No"
7721,2018,"","Negative","","","Positive","Negative","No"
5149,2018,"","Negative","","","Positive","Negative","No"
5135,2018,"","Negative","","","Positive","Negative","No"
5169,2018,"","Negative","","","0","Negative","No"
5859,2018,"","Negative","","","0","Negative","No"
5898,2018,"","Negative","","","0","Negative","No"
5080,2018,"","Not tested","","","Negative","Not tested","No"
5153,2018,"","Negative","Negative","","0","Negative","No"
5189,2018,"","Negative","","","Positive","Negative","No"
5878,2018,"","Negative","","","Negative","Negative","No"
5961,2018,"","Negative","","","Negative","Negative","No"
5728,2018,"","Negative","","","Not tested","Negative","No"
5975,2018,"","Negative","","","0","Negative","No"
5163,2018,"","ISF","Negative","","Negative","ISF","No"
5926,2018,"","Positive","","","Positive","Positive","No"
5930,2018,"","Negative","","","Positive","Negative","No"
5119,2018,"","Negative","Negative","Negative","0","Negative","No"
5979,2018,"","Positive","","","Positive","Positive","No"
5100,2018,"","Negative","","","Positive","Negative","No"
5143,2018,"","Negative","Negative","","0","Negative","No"
5185,2018,"","Negative","","","0","Negative","No"
5938,2018,"","Negative","","","Negative","Negative","No"
5942,2018,"","Negative","","","0","Negative","No"
5981,2018,"","Negative","","","Negative","Negative","No"
7344,2018,"","Negative","","","Negative","Negative","No"
7374,2018,"","Negative","","","Negative","Negative","No"
5101,2018,"","Negative","","","Negative","Negative","No"
5125,2018,"","Negative","","","0","Negative","No"
5129,2018,"","Negative","","","Not tested","Negative","No"
5167,2018,"","Negative","","","Positive","Negative","No"
5903,2018,"","Negative","","","Positive","Negative","No"
5951,2018,"","Negative","","","0","Negative","No"
5983,2018,"","Negative","","","0","Negative","No"
6031,2018,"","Negative","","","Negative","Negative","No"
7360,2018,"","ISF","","","Negative","ISF","No"
7388,2018,"","Negative","","","Negative","Negative","No"
5111,2018,"","Negative","","","Negative","Negative","No"
5117,2018,"","Positive","","","Positive","Positive","No"
5121,2018,"","Negative","","","Not tested","Negative","No"
5131,2018,"","Negative","","","0","Negative","No"
5977,2018,"","Negative","","","Negative","Negative","No"
5133,2018,"","Negative","","","0","Negative","No"
5175,2018,"","Negative","","","0","Negative","No"
5852,2018,"","Negative","","","Negative","Negative","No"
5020,2018,"","Negative","","","Negative","Negative","No"
5115,2018,"","Not tested","","","Negative","Not tested","No"
5141,2018,"","Negative","","","Negative","Negative","No"
5161,2018,"","Positive","","","Positive","Positive","No"
5835,2018,"","Negative","","","0","Negative","No"
5837,2018,"","Negative","","","Negative","Negative","No"
5955,2018,"","Negative","","","0","Negative","No"
6019,2018,"","ISF","","","0","ISF","Yes"
6903,2018,"","Negative","","","Negative","Negative","No"
6936,2018,"","Negative","","","Positive","Negative","No"
5871,2018,"","Negative","","","Negative","Negative","No"
5880,2018,"","Negative","","","0","Negative","No"
5989,2018,"","Negative","","","Negative","Negative","No"
6008,2018,"","Negative","","","Negative","Negative","No"
6909,2018,"","Negative","","","0","Negative","No"
7354,2018,"","Negative","","","Negative","Negative","No"
5177,2018,"","Positive","","","Positive","Positive","No"
5946,2018,"","Negative","","","Negative","Negative","No"
6913,2018,"","Negative","","","Negative","Negative","No"
6917,2018,"","ISF","","","0","ISF","Yes"
6926,2018,"","Negative","","","Negative","Negative","No"
6969,2018,"","Negative","","","Negative","Negative","No"
5987,2018,"","Negative","","","0","Negative","No"
5992,2018,"","Negative","","","Negative","Negative","No"
6907,2018,"","Negative","Negative","","Negative","Negative","No"
6934,2018,"","Negative","","","Negative","Negative","No"
6905,2018,"","Negative","","","Negative","Negative","No"
5159,2018,"","Negative","","","Positive","Negative","No"
5623,2018,"","Negative","","","0","Negative","No"
6940,2018,"","Negative","","","Negative","Negative","No"
6942,2018,"","Negative","","","Not tested","Negative","No"
